TimeStep,Time,"Points:0","Points:1","Points:2","U:0","U:1","U:2","p"
0,0.05,0,0,0,0,0,0,1.3435e-09
0,0.05,0.05,0,0,0,0,0,5.4128e-05
0,0.05,0.1,0,0,0,0,0,0.00026782
0,0.05,0.15,0,0,0,0,0,0.00068577
0,0.05,0.2,0,0,0,0,0,0.0012989
0,0.05,0.25,0,0,0,0,0,0.0021025
0,0.05,0.3,0,0,0,0,0,0.0030912
0,0.05,0.35,0,0,0,0,0,0.0042583
0,0.05,0.4,0,0,0,0,0,0.0055963
0,0.05,0.45,0,0,0,0,0,0.0070963
0,0.05,0.5,0,0,0,0,0,0.0087484
0,0.05,0.55,0,0,0,0,0,0.010542
0,0.05,0.6,0,0,0,0,0,0.012465
0,0.05,0.65,0,0,0,0,0,0.014506
0,0.05,0.7,0,0,0,0,0,0.016651
0,0.05,0.75,0,0,0,0,0,0.018886
0,0.05,0.8,0,0,0,0,0,0.021198
0,0.05,0.85,0,0,0,0,0,0.023571
0,0.05,0.9,0,0,0,0,0,0.025992
0,0.05,0.95,0,0,0,0,0,0.028443
0,0.05,1,0,0,0,0,0,0.030911
0,0.05,1.05,0,0,0,0,0,0.033378
0,0.05,1.1,0,0,0,0,0,0.035831
0,0.05,1.15,0,0,0,0,0,0.038253
0,0.05,1.2,0,0,0,0,0,0.040629
0,0.05,1.25,0,0,0,0,0,0.042944
0,0.05,1.3,0,0,0,0,0,0.045183
0,0.05,1.35,0,0,0,0,0,0.047332
0,0.05,1.4,0,0,0,0,0,0.049377
0,0.05,1.45,0,0,0,0,0,0.051305
0,0.05,1.5,0,0,0,0,0,0.053103
0,0.05,1.55,0,0,0,0,0,0.05476
0,0.05,1.6,0,0,0,0,0,0.056264
0,0.05,1.65,0,0,0,0,0,0.057606
0,0.05,1.7,0,0,0,0,0,0.058778
0,0.05,1.75,0,0,0,0,0,0.05977
0,0.05,1.8,0,0,0,0,0,0.060577
0,0.05,1.85,0,0,0,0,0,0.061192
0,0.05,1.9,0,0,0,0,0,0.061612
0,0.05,1.95,0,0,0,0,0,0.061827
0,0.05,2,0,0,0,0,0,0.061882
0,0.05,0,0.05,0,0,0,0,-5.3962e-05
0,0.05,0.05,0.05,0,-0.00017926,0.00017837,0,2.2616e-07
0,0.05,0.1,0.05,0,-0.00037896,0.00019501,0,0.00021442
0,0.05,0.15,0.05,0,-0.00058669,0.00019325,0,0.00063334
0,0.05,0.2,0.05,0,-0.00079019,0.00018904,0,0.0012477
0,0.05,0.25,0.05,0,-0.0009884,0.00018357,0,0.0020527
0,0.05,0.3,0.05,0,-0.0011802,0.00017692,0,0.0030431
0,0.05,0.35,0.05,0,-0.0013642,0.00016915,0,0.0042123
0,0.05,0.4,0.05,0,-0.0015395,0.00016032,0,0.0055526
0,0.05,0.45,0.05,0,-0.0017048,0.0001505,0,0.0070552
0,0.05,0.5,0.05,0,-0.0018592,0.00013977,0,0.0087102
0,0.05,0.55,0.05,0,-0.0020017,0.0001282,0,0.010507
0,0.05,0.6,0.05,0,-0.0021315,0.00011588,0,0.012433
0,0.05,0.65,0.05,0,-0.0022478,0.00010288,0,0.014478
0,0.05,0.7,0.05,0,-0.00235,8.929e-05,0,0.016626
