# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 5.207970214843750000e+03 6.443820312500000000e+03 1.000010848045349121e+00
1.000000000000000000e+03 5.163523864746093750e+01 6.174504470825195312e+01 3.175059556961059570e-01
2.000000000000000000e+03 3.408308982849121094e+00 4.040680408477783203e+00 6.972435116767883301e-02
3.000000000000000000e+03 3.008015453815460205e-01 3.287822306156158447e-01 1.217136159539222717e-02
4.000000000000000000e+03 6.082568168640136719e-01 6.497105956077575684e-01 1.231462229043245316e-02
5.000000000000000000e+03 5.321428924798965454e-02 5.336925387382507324e-02 3.194097429513931274e-03
