# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 9.643819335937500000e+03 1.901803588867187500e+01 1.085949804687500000e+04 1.901803398132324219e+01 1.288797736167907715e+00
1.000000000000000000e+03 1.981491088867187500e+03 2.057358741760253906e+01 2.321752929687500000e+03 2.057359123229980469e+01 1.387362480163574219e+00
2.000000000000000000e+03 3.819631347656250000e+02 3.718511581420898438e+01 1.766796264648437500e+03 3.718511581420898438e+01 1.712651014328002930e+00
3.000000000000000000e+03 5.941610717773437500e+01 3.026325416564941406e+01 2.825225097656250000e+03 3.026324844360351562e+01 1.720008611679077148e+00
4.000000000000000000e+03 2.879705238342285156e+01 1.936404228210449219e+01 3.717023681640625000e+03 1.936404037475585938e+01 1.647661566734313965e+00
5.000000000000000000e+03 1.136426830291748047e+01 1.393054866790771484e+01 4.413443847656250000e+03 1.393054771423339844e+01 1.601133346557617188e+00
6.000000000000000000e+03 1.440488624572753906e+01 9.481928825378417969e+00 4.706849121093750000e+03 9.481929779052734375e+00 1.533444404602050781e+00
7.000000000000000000e+03 3.900891065597534180e+00 5.976224899291992188e+00 5.096603515625000000e+03 5.976224899291992188e+00 1.461571574211120605e+00
8.000000000000000000e+03 2.775144577026367188e+00 3.569158554077148438e+00 5.233257812500000000e+03 3.569157838821411133e+00 1.407470345497131348e+00
9.000000000000000000e+03 1.640970110893249512e+00 2.169916391372680664e+00 5.217551269531250000e+03 2.169916629791259766e+00 1.364257097244262695e+00
1.000000000000000000e+04 2.232908725738525391e+00 1.348447799682617188e+00 5.119710449218750000e+03 1.348447203636169434e+00 1.332887291908264160e+00
1.100000000000000000e+04 4.104854583740234375e+00 8.619298338890075684e-01 4.877873046875000000e+03 8.619297146797180176e-01 1.301348567008972168e+00
1.200000000000000000e+04 3.443192243576049805e+00 6.325685977935791016e-01 4.660700195312500000e+03 6.325685977935791016e-01 1.277183055877685547e+00
1.300000000000000000e+04 1.204596996307373047e+00 4.633757770061492920e-01 4.465073242187500000e+03 4.633749425411224365e-01 1.255557417869567871e+00
1.400000000000000000e+04 9.338183403015136719e-01 3.638054132461547852e-01 4.245599609375000000e+03 3.638056218624114990e-01 1.232173919677734375e+00
1.500000000000000000e+04 4.760898590087890625e+00 3.240203261375427246e-01 4.055135742187500000e+03 3.240209519863128662e-01 1.209461927413940430e+00
1.600000000000000000e+04 3.769793510437011719e-01 2.409215718507766724e-01 3.863202880859375000e+03 2.409217208623886108e-01 1.189862608909606934e+00
