"filename", "language", "Python", "comment", "blank", "total"
"d:\9月份\9月20日 - 9月27日\module_compare\user_funn\ds.py", "Python", 36, 20, 9, 65
"d:\9月份\9月20日 - 9月27日\module_compare\user_funn\field.py", "Python", 102, 22, 25, 149
"d:\9月份\9月20日 - 9月27日\module_compare\user_funn\get_net.py", "Python", 103, 5, 10, 118
"d:\9月份\9月20日 - 9月27日\module_compare\user_funn\solver.py", "Python", 99, 56, 29, 184
"Total", "-", 340, 103, 73, 516
